Power Futures Historical Data
From ERCOT Hub Average Settlement Prices
Date,Close,High,Low,Open,Volume
2024-06-09,32.707187499999996,74.82,15.78,20.45,
2024-06-10,54.76239583333333,191.42,18.44,37.44,
2024-06-11,42.40895833333333,161.98,22.03,43.12,
2024-06-12,48.129375,147.61,23.08,46.5,
2024-06-13,38.3215625,88.17,11.61,21.42,
2024-06-14,34.25447916666666,85.64,14.61,27.31,
2024-06-15,24.139687499999997,44.41,12.02,29.97,
2024-06-16,19.024583333333336,58.14,4.65,15.53,
2024-06-17,25.754166666666666,118.92,13.55,17.07,
2024-06-18,19.309270833333333,52.79,9.98,17.55,
2024-06-19,20.435729166666665,34.61,14.96,19.18,
2024-06-20,32.41052083333333,83.67,20.29,21.99,
2024-06-21,23.603125000000002,64.43,14.91,22.56,
2024-06-22,25.99083333333333,193.62,1.04,23.59,
2024-06-23,27.62625,134.16,9.89,18.7,
2024-06-24,25.9090625,73.16,16.42,22.41,
2024-06-25,28.28052083333333,198.9,10.31,19.21,
2024-06-26,27.5871875,70.98,15.27,21.29,
2024-06-27,31.818749999999998,62.35,22.13,25.19,
2024-06-28,24.743125000000003,73.44,10.95,23.35,
2024-06-29,24.157708333333332,84.51,10.98,15.68,
2024-06-30,22.561562499999997,39.85,10.63,24.46,
2024-07-01,20.567291666666666,59.91,9.63,22.09,
2024-07-02,19.6646875,64.69,9.12,18.8,
2024-07-03,20.420312499999998,37.62,12.48,17.75,
2024-07-04,23.28625,89.1,0.01,18.04,
2024-07-05,17.640729166666667,34.22,9.18,17.29,
2024-07-06,28.21947916666667,104.44,13.24,21.37,
2024-07-07,14.863645833333335,23.11,0.0,16.83,
2024-07-08,15.101875,38.24,5.64,15.2,
2024-07-09,21.284166666666668,55.11,7.61,23.44,
2024-07-10,24.788020833333334,61.14,14.27,17.44,
2024-07-11,21.798645833333335,41.08,13.41,19.46,
2024-07-12,18.891770833333332,36.13,11.76,17.44,
2024-07-13,15.65,38.93,7.8,12.91,
2024-07-14,21.452083333333334,89.93,0.0,13.91,
2024-07-15,27.04114583333333,125.83,11.97,17.46,
2024-07-16,23.29041666666667,84.54,7.51,15.23,
2024-07-17,22.806979166666665,63.86,15.83,18.35,
2024-07-18,29.488020833333334,117.85,14.26,27.44,
2024-07-19,26.0253125,87.16,16.4,26.48,
2024-07-20,17.6671875,45.79,8.95,16.34,
2024-07-21,19.165,33.82,14.67,22.14,
2024-07-22,26.29552083333333,61.49,17.16,29.03,
2024-07-23,28.942291666666666,76.86,21.19,29.78,
2024-07-24,43.009791666666665,427.83,18.74,21.53,
2024-07-25,30.454791666666665,81.43,19.79,22.03,
2024-07-26,22.599895833333335,36.49,17.5,20.54,
2024-07-27,20.272604166666667,33.84,16.83,19.11,
2024-07-28,17.012916666666666,79.14,7.22,17.9,
2024-07-29,28.914375000000003,385.97,9.21,18.68,
2024-07-30,17.3278125,36.87,5.81,21.41,
2024-07-31,15.375,32.37,4.04,15.8,
2024-08-01,19.470312500000002,39.96,11.3,18.48,
2024-08-02,28.4565625,114.88,11.57,16.88,
2024-08-03,24.489583333333332,55.73,13.43,20.46,
2024-08-04,26.071458333333336,71.33,14.86,32.86,
2024-08-05,29.248958333333334,98.56,13.56,20.63,
2024-08-06,38.645520833333336,361.98,10.65,19.07,
2024-08-07,55.6996875,880.82,12.34,19.86,
2024-08-08,27.293125,57.98,17.1,22.16,
2024-08-09,26.032395833333336,50.49,13.42,24.54,
2024-08-10,29.395833333333332,81.32,14.76,23.39,
2024-08-11,22.4784375,131.77,5.83,19.83,
2024-08-12,20.327708333333334,37.58,8.51,14.72,
2024-08-13,22.864375,51.99,13.23,21.58,
2024-08-14,24.783020833333335,72.87,7.36,17.94,
2024-08-15,30.609062499999997,98.13,11.9,19.53,
2024-08-16,28.174166666666665,102.72,14.08,21.17,
2024-08-17,26.249583333333334,74.92,10.81,19.88,
2024-08-18,32.666875,231.74,10.57,23.45,
2024-08-19,76.21364583333333,1575.6,14.27,20.28,
2024-08-20,224.05770833333335,4852.83,14.42,22.59,
2024-08-21,43.746874999999996,202.81,13.62,21.51,
2024-08-22,30.782708333333332,76.51,14.41,20.57,
2024-08-23,29.09177083333333,92.07,14.56,18.04,
2024-08-24,18.753854166666667,40.97,11.52,16.12,
2024-08-25,22.371979166666666,72.47,9.67,17.66,
2024-08-26,24.996458333333333,48.09,16.74,21.86,
2024-08-27,28.734895833333336,64.05,18.59,19.72,
2024-08-28,22.277083333333334,50.47,15.1,21.87,
2024-08-29,25.0746875,92.96,12.91,18.8,
2024-08-30,25.25979166666667,98.84,16.57,20.11,
2024-08-31,32.556979166666665,107.51,18.19,31.0,
2024-09-01,24.127291666666665,45.48,16.02,41.14,
2024-09-02,20.765208333333334,27.12,16.09,27.09,
